Date;Annee;Fournisseurs;Age_recep;Colo;Brix;Acidite;Taches;Note_recep;Com_rec;Hauteur;Diametre;Forme;Poids;Productivite;Rendement;delais_transf;Age_7j;Note_7j;Conf_7j;Colo_7j;Homo_7j;Carac_7j;Age_8j;Note_8j;Conf_8j;Colo_8j;Homo_8j;Carac_8j
04/06/2021;2021;MI;24;2;13,6;0,56;A;4;D;17;11;1,55;1697;129,6;45;3;34;12;C;2;NON;fer;35;7;NC;2;NON;lb
04/06/2021;2021;MI;24;2;15,6;0,47;A;3,5;TD;17,5;11,5;1,52;1739;129,6;45;3;34;12;C;2;NON;fer;35;7;NC;2;NON;lb
31/05/2021;2021;MI;25;2,5;16;0,72;A;4;E;18,5;11,5;1,61;1745;127,6;49;6;38;16;TC;2;OUI;bp;39;11;NC;2;OUI;lb
31/05/2021;2021;MI;25;2,5;12,7;0,84;A;3;A;17;11,5;1,48;1755;127,6;49;6;38;16;TC;2;OUI;bp;39;11;NC;2;OUI;lb
01/04/2021;2021;MI;23;1,5;12;0,9;A;3;A;17,5;12,5;1,4;1671;116,5;45;5;34;12;C;2;OUI;fer;35;11;NC;2;OUI;fer
01/04/2021;2021;MI;23;1,5;13;0,95;A;3;A;16;12;1,33;1728;116,5;45;4;35;12;C;2;OUI;fer;36;11;NC;2;OUI;fer
09/04/2021;2021;MI;24;1,5;10,7;0,74;A;3;TA;19,5;12;1,63;1871;115,7;45;4;35;13;C;1,5;OUI;bru;36;12;C;1,5;NON;lb
09/04/2021;2021;MI;24;1,5;13,6;0,71;A;3;A;18;12,5;1,44;1987;115,7;40;4;34;13;C;1,5;OUI;bru;35;12;C;1,5;NON;lb
09/04/2021;2021;MI;23;1,5;11,5;0,7;A;3;TA;16,5;12,5;1,32;2043;74,8;40;4;34;14;C;2;OUI;bru;35;12;C;2;OUI;lb
22/04/2021;2021;MI;22;1,5;13,9;0,74;A;3;A;17;11,5;1,48;1591;144,5;47;5;34;8;NC;1,5;NON;bru;35;0;NC;2;NON;lb
28/04/2021;2021;KE;29;1,5;14,8;0,55;A;4;E;17,5;14;1,25;1928;111,8;40;12;41;12;C;2,5;NON;fer;42;10;NC;2,5;NON;fer
28/04/2021;2021;KE;29;1,5;13,9;0,53;A;3,5;E;19;13;1,46;2150;111,8;40;6;41;12;C;2,5;NON;fer;42;10;NC;2,5;NON;fer
29/04/2021;2021;MI;21;1,5;15,8;0,78;A;3,5;A;17;13;1,31;1182;126;53;11;38;14;C;2,5;NON;bru;39;14;C;2,5;OUI;bru
07/05/2021;2021;MI;23;1,5;13,1;0,61;A;3;TA;17,5;12,5;1,4;1722;107,1;44;10;40;12;C;1,5;NON;lb;41;7;NC;1,5;NON;lb
07/05/2021;2021;MI;23;1,5;11,5;0,6;A;3;A;18,5;12;1,54;1803;107,1;42;11;40;12;C;1,5;NON;lb;41;7;NC;1,5;NON;lb
26/05/2021;2021;MI;29;1,5;14,2;0,9;A;4;A;18;11,5;1,57;2194;111,7;42;7;39;14;C;1,5;OUI;fer;40;12;C;1,5;OUI;lb
09/04/2021;2021;MI;23;2;13,1;0,52;P;3;TD;19,5;12,5;1,56;1705;74,8;40;3;33;14;C;2;OUI;bru;34;12;C;2;OUI;lb
15/04/2021;2021;KE;22;2;13,7;0,33;A;4;D;20;13;1,54;2303;113,3;47;3;33;14;C;2;OUI;bru;34;10;NC;3;OUI;lb
15/04/2021;2021;KE;22;2;12,7;0,41;A;4;D;18;13;1,38;2124;113,3;47;4;33;14;C;2;OUI;bru;34;10;NC;3;OUI;lb
15/04/2021;2021;MI;24;2;12,6;0,63;A;3;A;16;12,5;1,28;1795;96,6;47;4;33;12;C;2;OUI;lev;34;10;NC;2;OUI;lev
15/04/2021;2021;MI;24;2;11,9;0,66;A;3;A;19;12;1,58;1926;96,6;47;5;36;12;C;2;OUI;lev;37;10;NC;2;OUI;lev
22/04/2021;2021;MI;22;2;15,1;0,82;P;3;A;17;12,5;1,36;1839;144,5;47;4;34;8;NC;1,5;NON;bru;35;0;NC;2;NON;lb
15/04/2021;2021;MI;22;2;10,8;0,68;A;3,5;A;18;12;1,5;1865;113,3;47;5;34;13;C;2;OUI;fer;35;12;C;2;OUI;lev
15/04/2021;2021;MI;22;2;13,3;0,5;A;4;E;17,5;12;1,46;1709;113,3;47;12;41;13;C;2;OUI;fer;42;12;C;2;OUI;lev
29/04/2021;2021;MI;21;2;15,7;0,56;A;4;E;17;11,5;1,48;1098;137,1;47;5;38;14;C;2;OUI;bru;42;11;NC;2;OUI;lb
29/04/2021;2021;MI;21;2;16,9;0,68;A;4;E;17;12,5;1,36;1272;126;53;12;39;14;C;2,5;NON;bru;40;14;C;2,5;OUI;bru
18/05/2021;2021;MI;27;2;14,5;0,57;A;4;E;17;12;1,42;1854;143;51;7;39;12;C;1,5;NON;bru;40;12;C;1,5;NON;lb
26/05/2021;2021;MI;29;2;13,3;0,59;P;3,8;E;19;12,5;1,52;1919;111,7;42;5;40;14;C;1,5;OUI;fer;41;12;C;1,5;OUI;lb
31/05/2021;2021;MI;25;2;14,2;0,7;A;4;E;18;12;1,5;1899;145,8;48;5;40;14;C;2;OUI;lb;41;11;NC;2;OUI;lb
31/05/2021;2021;MI;25;2;14,7;0,62;A;4;D;17;11,5;1,48;1757;145,8;48;1;33;14;C;2;OUI;lb;34;11;NC;2;OUI;lb
22/04/2021;2021;KE;23;2,5;15,5;0,41;A;4;D;19,5;12,5;1,56;2227;108,3;35;4;34;13;C;3;OUI;bru;35;8;NC;3;OUI;lb
29/04/2021;2021;MI;21;2,5;12,1;0,3;P;4;TD;18,5;12;1,54;1069;137,1;47;11;38;14;C;2;OUI;bru;39;11;NC;2;OUI;lb
18/05/2021;2021;MI;27;2,5;12,8;0,65;A;4;E;18;12;1,5;1975;143;51;11;40;12;C;1,5;NON;bru;41;12;C;1,5;NON;lb
22/04/2021;2021;KE;23;3;14,9;0,53;A;3,5;TD;20;13;1,54;2201;108,3;35;5;36;13;C;3;OUI;bru;37;8;NC;3;OUI;lb
08/06/2021;2021;MI;28;2;15,2;0,72;A;4;E;17,5;11,5;1,52;1650;120,2;47;6;40;12;C;2;OUI;lb;41;5;NC;2;OUI;lb
08/06/2021;2021;MI;28;2;14,1;0,76;A;4;E;17;11;1,55;1444;120,2;47;6;40;12;C;2;OUI;lb;41;5;NC;2;OUI;lb
10/06/2021;2021;MI;31;2;12,4;0,61;A;4;E;18;11,5;1,57;1853;117,2;47;5;42;12;C;2;OUI;lb;43;7;NC;2;OUI;lb
10/06/2021;2021;MI;21;2;12,6;0,55;A;3;TD;17,5;11;1,59;1725;117,2;47;5;42;12;C;2;OUI;lb;43;7;NC;2;OUI;lb
17/06/2021;2021;MI;23;2;12,7;0,53;A;5;D;18,5;12;1,54;1933;132,3;45;5;34;12;C;2;OUI;lev;35;7;NC;2;OUI;lev
17/06/2021;2021;MI;23;2;13,1;0,63;A;5;D;19;12;1,58;1887;132,3;45;5;34;12;C;2;OUI;lev;35;7;NC;2;OUI;lev
